트랙포인트고유번호,부모트랙고유번호,트랙포인트정렬순서,트랙포인트경도,트랙포인트위도,트랙포인트해발고도,트랙포인트X좌표,트랙포인트Y좌표
27040862,20193338814,476,36.109611,128.321486,278.85,0,0
27040882,20193338814,479,36.109348,128.321429,282.86,0,0
27040912,20193338814,483,36.109017,128.321122,279.35,0,0
27040982,20193338814,493,36.108204,128.321349,273.67,0,0
27041082,20193338814,507,36.107068,128.3215,263.93,0,0
27041102,20193338814,510,36.106794,128.321379,258.3,0,0
27041132,20193338814,514,36.106427,128.321399,252.9,0,0
27041262,20193338814,533,36.104926,128.32229,271.25,0,0
27041342,20193338814,548,36.103721,128.322933,259.97,0,0
27041372,20193338814,554,36.103302,128.323286,281.75,0,0
27041392,20193338814,558,36.103104,128.323544,290.59,0,0
27041502,20193338814,582,36.101102,128.324578,264.54,0,0
27041542,20193338814,595,36.100236,128.325539,252.79,0,0
27041592,20193338814,612,36.099219,128.325385,240.73,0,0
27041622,20193338814,623,36.098743,128.326328,284.06,0,0
27041632,20193338814,633,36.098103,128.327101,298.42,0,0
27041642,20193338814,643,36.097491,128.327772,323.4,0,0
27041652,20193338814,653,36.097156,128.328697,352.77,0,0
27041662,20193338814,663,36.096656,128.329096,381.99,0,0
27041672,20193338814,673,36.095848,128.328958,387.32,0,0
27041682,20193338814,683,36.095072,128.329239,397.87,0,0
27041712,20193338814,689,36.094651,128.329398,412.26,0,0
27041802,20193338814,707,36.093444,128.330142,461.21,0,0
27041812,20193338814,709,36.093367,128.330283,458.92,0,0
27041902,20193338814,728,36.092183,128.330859,510.28,0,0
27041912,20193338814,730,36.092032,128.330872,490.83,0,0
27041922,20193338814,732,36.091889,128.330904,539.45,0,0
27041932,20193338814,734,36.091763,128.330937,494.56,0,0
27041942,20193338814,736,36.091693,128.330864,529.07,0,0
27041952,20193338814,738,36.091615,128.330764,553.35,0,0
27041962,20193338814,740,36.091498,128.33067,545.28,0,0
27041972,20193338814,742,36.09141,128.33048,528.02,0,0
27041982,20193338814,744,36.091422,128.33028,530.89,0,0
27041992,20193338814,746,36.091418,128.330067,548.82,0,0
27042212,20193338814,791,36.091377,128.325831,568.44,0,0
27042302,20193338814,808,36.091039,128.324159,503.53,0,0
27042312,20193338814,810,36.090933,128.324019,535.26,0,0
27042322,20193338814,817,36.09105,128.323387,519.4,0,0
27042332,20193338814,827,36.091713,128.322494,499.05,0,0
27042342,20193338814,837,36.091511,128.321466,463.4,0,0
27042352,20193338814,847,36.090933,128.320614,473.61,0,0
27042362,20193338814,857,36.090783,128.319568,422.65,0,0
27042372,20193338814,867,36.090447,128.318534,479.73,0,0
27042392,20193338814,880,36.089383,128.317905,484.72,0,0
27042432,20193338814,893,36.088512,128.316895,470.62,0,0
27042462,20193338814,903,36.088763,128.315976,444.02,0,0
27042492,20193338814,913,36.089669,128.316019,435.56,0,0
27042522,20193338814,923,36.090587,128.316005,418.26,0,0
27042552,20193338814,933,36.091404,128.31611,398.41,0,0
27042562,20193338814,936,36.091676,128.316153,393.98,0,0
27042642,20193338814,963,36.093739,128.316012,328.18,0,0
27042672,20193338814,973,36.094286,128.316778,320.53,0,0
27042702,20193338814,983,36.094971,128.317582,290.96,0,0
27042742,20193338814,996,36.09592,128.318416,268.36,0,0
27042762,20193338814,1003,36.096176,128.318689,259.21,0,0
27042792,20193338814,1013,36.096919,128.318598,246.28,0,0
27042812,20193338814,1020,36.097469,128.318705,242.28,0,0
27042842,20193338814,1030,36.098245,128.319173,235.71,0,0
27042852,20193338814,1034,36.09865,128.319134,226.04,0,0
27042862,20193338814,1044,36.099549,128.319242,225.47,0,0
27042872,20193338814,1054,36.100559,128.319723,216.92,0,0
27042882,20193338814,1064,36.101441,128.319755,203.68,0,0
27042942,20193338814,1090,36.103311,128.317704,163.63,0,0
27042972,20193338814,1100,36.104254,128.317332,157.23,0,0
27043002,20193338814,1110,36.105278,128.317149,147.59,0,0
27043032,20193338814,1120,36.10627,128.316931,145.23,0,0
27043062,20193338814,1130,36.107204,128.31667,143.3,0,0
27043092,20193338814,1140,36.108197,128.316499,139.86,0,0
27043122,20193338814,1150,36.10914,128.316544,132.36,0,0
27043152,20193338814,1160,36.110107,128.316775,132.45,0,0
27043182,20193338814,1170,36.111137,128.31653,124.92,0,0
27043212,20193338814,1180,36.112044,128.315931,110.22,0,0
27043242,20193338814,1190,36.11261,128.315696,118.62,0,0
27038673,20193338814,17,36.113872,128.315517,107.78,0,0
27038683,20193338814,27,36.114623,128.315761,112.32,0,0
27038693,20193338814,37,36.115323,128.316296,103.82,0,0
27038703,20193338814,47,36.116122,128.316978,116.01,0,0
27038733,20193338814,61,36.116845,128.318369,115.85,0,0
27038753,20193338814,68,36.11736,128.318874,110.59,0,0
27038793,20193338814,81,36.118225,128.319915,101.25,0,0
27038833,20193338814,94,36.119356,128.320099,112.15,0,0
27038953,20193338814,122,36.120683,128.319859,97.71,0,0
27038963,20193338814,124,36.120867,128.319909,97.03,0,0
27038973,20193338814,126,36.121001,128.320079,95.93,0,0
27038983,20193338814,128,36.121148,128.320154,89.93,0,0
27038993,20193338814,130,36.121126,128.320398,92.88,0,0
27039003,20193338814,132,36.121073,128.320612,95.05,0,0
27039083,20193338814,148,36.122082,128.321944,85.76,0,0
27039413,20193338814,214,36.123716,128.329078,83.25,0,0
27039493,20193338814,229,36.124048,128.329305,77.62,0,0
27039503,20193338814,231,36.124174,128.329394,63.47,0,0
27039523,20193338814,235,36.124166,128.32961,48.63,0,0
27039533,20193338814,237,36.124015,128.329606,50.11,0,0
27039543,20193338814,239,36.123835,128.329562,44.88,0,0
27039573,20193338814,245,36.123325,128.329721,23.33,0,0
27039643,20193338814,263,36.122058,128.330479,85.73,0,0
27039663,20193338814,270,36.121437,128.330614,107.59,0,0
27039753,20193338814,290,36.119842,128.330392,145.08,0,0
27039963,20193338814,335,36.118916,128.326001,155.95,0,0
27040003,20193338814,341,36.118703,128.325426,157.46,0,0
27040013,20193338814,342,36.11863,128.325321,157.56,0,0
27040033,20193338814,345,36.118556,128.324994,166.8,0,0
27040093,20193338814,353,36.118315,128.32418,176.57,0,0
27040143,20193338814,360,36.118246,128.323446,190.43,0,0
27040233,20193338814,373,36.117958,128.322934,209.32,0,0
27040333,20193338814,391,36.116429,128.32335,198.73,0,0
27040343,20193338814,393,36.116245,128.32332,203.07,0,0
27040493,20193338814,423,36.11393,128.322375,290.8,0,0
27040513,20193338814,426,36.113626,128.322342,282.84,0,0
27040623,20193338814,442,36.11235,128.321847,253.31,0,0
27040763,20193338814,462,36.110681,128.321724,267.5,0,0
27040933,20193338814,486,36.108775,128.320924,283.13,0,0
27041153,20193338814,517,36.106157,128.321464,257.23,0,0
27041173,20193338814,520,36.105874,128.321515,259.29,0,0
27041243,20193338814,530,36.105246,128.322369,275.96,0,0
27041253,20193338814,532,36.105032,128.322311,275.78,0,0
27041413,20193338814,562,36.102751,128.323566,292.34,0,0
27041493,20193338814,579,36.101238,128.324303,274.01,0,0
27041523,20193338814,589,36.100576,128.325198,262.66,0,0
27041533,20193338814,592,36.100379,128.325434,259.46,0,0
27041563,20193338814,602,36.100008,128.325683,245.75,0,0
27041583,20193338814,609,36.099462,128.325272,234.76,0,0
27041613,20193338814,619,36.098968,128.326,274.22,0,0
27041623,20193338814,624,36.098682,128.326414,289.76,0,0
27041633,20193338814,634,36.098037,128.327174,294.85,0,0
27041643,20193338814,644,36.09742,128.327856,327.05,0,0
27041653,20193338814,654,36.097128,128.328804,356.3,0,0
27041663,20193338814,664,36.096584,128.329035,371.97,0,0
27041673,20193338814,674,36.095788,128.329025,396.84,0,0
27042113,20193338814,771,36.091012,128.327575,537.98,0,0
27042123,20193338814,773,36.091054,128.327396,535.27,0,0
